_panel_year,_school_identity_key,학교명,본분교명,시도명,학교종류명,source_row_count,department_count,department_college_pair_count,candidate_open_id,candidate_method,bridge_year_exists,province_context_match,branch_context_match,resolution_status
2023,employment-school-dcfd954e4b2161f0e4b3,경기대학교 행정복지상담대학원,본교,경기,특수대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-7c76987c6b094bfa7f03,경기대학교 행정사회복지대학원,본교,경기,특수대학원,10,10,10,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-06e0b195e3bd542e07ca,경남과학기술대학교,본교,경남,대학,35,35,35,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-36788ad6148410719976,경남과학기술대학교 대학원,본교,경남,일반대학원,21,21,21,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-a7f9b85147fe0dabc3d1,경남과학기술대학교 산업복지대학원,본교,경남,특수대학원,7,7,7,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-d7e1f0218a3dfaf3f42c,경남과학기술대학교 창업대학원,본교,경남,특수대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-a5951ecc512b0fd64e1a,경남대학교,본교,경남,대학,61,61,61,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-7bbb7e6424d1923233d5,경남대학교교육대학원,본교,경남,특수대학원,11,11,11,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-a98be5b19cc610e276d7,경남대학교대학원,본교,경남,일반대학원,20,20,20,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-ebeeed060a2fb72d9d72,경남대학교 산업경영대학원,본교,경남,특수대학원,5,5,5,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-5643dc9543bcbd1ff92c,경남대학교행정대학원,본교,경남,특수대학원,7,7,7,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-b8314cca38929e93aa63,경남도립거창대학,본교,경남,전문대학,11,11,11,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-36bbc1ce8bdf6c71cdfc,경남도립남해대학,본교,경남,전문대학,11,11,11,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-febd50014bd1a880174b,경남정보대학교,본교,부산,전문대학,52,52,52,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-edc92c289162120bb4bc,경동대학교,본교,강원,대학,8,8,8,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-cc41b26acd570fa2bac4,경동대학교,캠퍼스1,강원,대학,10,10,10,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-226552b5f8e458aa9fd7,경동대학교,캠퍼스2,경기,대학,17,17,17,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-577e5431b1a818f1072c,경민대학교,본교,경기,전문대학,40,40,40,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-d8e776cd6abb6f01b12e,경복대학교,본교,경기,전문대학,54,54,54,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-46f31f833e38624aad5e,경북과학대학교,본교,경북,전문대학,21,21,21,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-864facf6b7d4427167ab,경북대학교,본교,대구,대학,143,141,143,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
