province,parent_school_name,parent_resolution_method,graduate_school_identity_count,department_count,graduate_school_kinds,component_school_names
전북,원광대학교,longest_undergraduate_name_prefix,7,27,전문대학원|특수대학원,원광대학교 경영대학원|원광대학교 교육대학원|원광대학교 동양학대학원|원광대학교 법학전문대학원|원광대학교 보건·보완의학대학원|원광대학교 한의학전문대학원|원광대학교 행정대학원
전북,원광디지털대학교,longest_undergraduate_name_prefix,1,1,특수대학원,원광디지털대학교 웰빙문화대학원
전북,원불교대학원대학교,standalone_graduate_university,1,1,전문대학원,원불교대학원대학교
전북,전북대학교,longest_undergraduate_name_prefix,13,61,전문대학원|특수대학원,전북대학교 경영대학원|전북대학교 교육대학원|전북대학교 법무대학원|전북대학교 법학전문대학원|전북대학교 보건대학원|전북대학교 산업기술대학원|전북대학교 생명자원과학대학원|전북대학교 유연인쇄전자전문대학원|전북대학교 의학전문대학원|전북대학교 정보과학대학원|전북대학교 치의학전문대학원|전북대학교 행정대학원|전북대학교 환경대학원
전북,전주교육대학교,longest_undergraduate_name_prefix,1,15,특수대학원,전주교육대학교교육대학원
전북,전주대학교,longest_undergraduate_name_prefix,6,34,특수대학원,전주대학교 경영행정대학원|전주대학교 교육대학원|전주대학교 문화산업대학원|전주대학교 보건복지대학원|전주대학교 상담심리대학원|전주대학교 선교신학대학원
전북,한일장신대학교,longest_undergraduate_name_prefix,3,3,특수대학원,한일장신대학교 사회복지대학원|한일장신대학교 심리치료대학원|한일장신대학교신학대학원
제주,제주국제대학교,longest_undergraduate_name_prefix,3,8,특수대학원,제주국제대학교 교육대학원|제주국제대학교 사회복지임상치료대학원|제주국제대학교 산업대학원
제주,제주대학교,longest_undergraduate_name_prefix,9,49,전문대학원|특수대학원,제주대학교 법학전문대학원|제주대학교 보건복지대학원|제주대학교 사회교육대학원|제주대학교 의학전문대학원|제주대학교 통역번역대학원|제주대학교경영대학원|제주대학교교육대학원|제주대학교산업대학원|제주대학교행정대학원
충남,고신대학교,longest_undergraduate_name_prefix,1,2,특수대학원,고신대학교신학대학원
충남,공주교육대학교,longest_undergraduate_name_prefix,1,30,특수대학원,공주교육대학교교육대학원
충남,공주대학교,longest_undergraduate_name_prefix,8,60,전문대학원|특수대학원,공주대학교 경영대학원|공주대학교 국가사회안전대학원|공주대학교 문화유산대학원|공주대학교 정책융합전문대학원|공주대학교 테크노융합대학원|공주대학교교육대학원|공주대학교산업과학대학원|공주대학교특수교육대학원
충남,국제뇌교육종합대학원대학교,standalone_graduate_university,1,6,전문대학원,국제뇌교육종합대학원대학교
충남,나사렛대학교,longest_undergraduate_name_prefix,4,13,특수대학원,나사렛대학교 사회복지대학원|나사렛대학교교육대학원|나사렛대학교신학대학원|나사렛대학교재활복지대학원
충남,남서울대학교,longest_undergraduate_name_prefix,2,18,특수대학원,남서울대학교 국제대학원|남서울대학교 특수대학원
충남,단국대학교,longest_undergraduate_name_prefix,4,19,특수대학원,단국대학교 교육대학원|단국대학교 보건복지대학원|단국대학교 스포츠과학대학원|단국대학교 정책경영대학원
충남,선문대학교,longest_undergraduate_name_prefix,4,9,전문대학원|특수대학원,선문대학교 글로컬통합대학원|선문대학교 신학대학원|선문대학교교육대학원|선문대학교신학전문대학원
충남,순천향대학교,longest_undergraduate_name_prefix,4,20,특수대학원,순천향대학교 건강과학대학원|순천향대학교 미래융합대학원|순천향대학교 법과학대학원|순천향대학교교육대학원
충남,중부대학교,longest_undergraduate_name_prefix,3,29,특수대학원,중부대학교 휴먼텍대학원|중부대학교교육대학원|중부대학교원격대학원
충남,청운대학교,longest_undergraduate_name_prefix,1,18,특수대학원,청운대학교 대학원
